Period,Year,All,Ag,Retail,AgShare,RetailShare,COFactor,NumBusinesses,COAgBus,CORetailBus,,,,,
Jul-04,2004,159034,2195,20155,1.38%,12.67%,,,,,,,,,
Aug-04,2004,191673,2513,23867,1.31%,12.45%,,,,,,,,,
Sep-04,2004,190868,2683,23763,1.41%,12.45%,,,,,,,,,
Oct-04,2004,190626,2243,23594,1.18%,12.38%,,,,,,,,,
Nov-04,2004,211251,2514,26597,1.19%,12.59%,,,,,,,,,
Dec-04,2004,193836,2118,24048,1.09%,12.41%,,,,,,,,,
Jan-05,2005,203534,2431,24529,1.19%,12.05%,0.022462467,4572,55,551,,,,,
Feb-05,2005,204535,2430,25167,1.19%,12.30%,0.022462467,4594,55,565,,,,,
Mar-05,2005,201700,2443,24993,1.21%,12.39%,0.022462467,4531,55,561,,,,,
Apr-05,2005,203983,2474,24985,1.21%,12.25%,0.022462467,4582,56,561,,,,,
May-05,2005,203401,2392,25075,1.18%,12.33%,0.022462467,4569,54,563,,,,,
Jun-05,2005,209615,2453,25358,1.17%,12.10%,0.022462467,4708,55,570,,,,,
Jul-05,2005,207448,2282,24975,1.10%,12.04%,0.022462467,4660,51,561,,,,,
Aug-05,2005,204303,2340,24845,1.15%,12.16%,0.022462467,4589,53,558,,,,,
Sep-05,2005,184171,1812,21673,0.98%,11.77%,0.022462467,4137,41,487,,,,,
Oct-05,2005,230042,2382,27654,1.04%,12.02%,0.022462467,5167,54,621,,,,,
Nov-05,2005,222495,2433,26414,1.09%,11.87%,0.022462467,4998,55,593,,,,,
Dec-05,2005,234221,2616,27915,1.12%,11.92%,0.022462467,5261,59,627,,,,,
Jan-06,2006,218466,2448,25702,1.12%,11.76%,0.022501497,4916,55,578,,,,,
Feb-06,2006,225936,2518,26297,1.11%,11.64%,0.022501497,5084,57,592,,,,,
Mar-06,2006,222573,2510,25897,1.13%,11.64%,0.022501497,5008,56,583,,,,,
Apr-06,2006,223168,2464,26215,1.10%,11.75%,0.022501497,5022,55,590,,,,,
May-06,2006,221849,2487,25872,1.12%,11.66%,0.022501497,4992,56,582,,,,,
Jun-06,2006,217751,2371,25751,1.09%,11.83%,0.022501497,4900,53,579,,,,,
Jul-06,2006,219666,2469,26088,1.12%,11.88%,0.022501497,4943,56,587,,,,,
Aug-06,2006,218558,2449,25852,1.12%,11.83%,0.022501497,4918,55,582,,,,,
Sep-06,2006,211803,2163,25038,1.02%,11.82%,0.022501497,4766,49,563,,,,,
Oct-06,2006,206248,2276,25166,1.10%,12.20%,0.022501497,4641,51,566,,,,,
Nov-06,2006,202280,2260,24554,1.12%,12.14%,0.022501497,4552,51,553,,,,,
Dec-06,2006,247474,3139,29010,1.27%,11.72%,0.022501497,5569,71,653,,,,,
Jan-07,2007,208770,2150,24807,1.03%,11.88%,0.023080298,4818,50,573,,,,,
